id,lex,lemma
1740,3,entity
1930,3,physical_entity
2137,3,abstraction
2137,3,abstract_entity
2452,3,thing
2684,3,object
2684,3,physical_object
3553,3,whole
3553,3,unit
3993,3,congener
4258,3,living_thing
4258,3,animate_thing
4475,3,organism
4475,3,being
5787,3,benthos
5930,3,dwarf
6024,3,heterotroph
6150,3,parent
6269,3,life
6400,3,biont
6484,3,cell
7347,3,causal_agent
7347,3,cause
7347,3,causal_agency
7846,3,person
7846,3,individual
7846,3,someone
7846,3,somebody
7846,3,mortal
7846,3,soul
15388,3,animal
15388,3,animate_being
15388,3,beast
15388,3,brute
15388,3,creature
15388,3,fauna
17222,3,plant
17222,3,flora
17222,3,plant_life
19046,3,native
19128,3,natural_object
19613,3,substance
20090,3,substance
20827,3,matter
21265,3,food
21265,3,nutrient
21734,3,nutrient
21939,3,artifact
21939,3,artefact
22903,3,article
23100,3,psychological_feature
23271,3,cognition
23271,3,knowledge
23271,3,noesis
23773,3,motivation
23773,3,motive
23773,3,need
24264,3,attribute
24720,3,state
26192,3,feeling
27167,3,location
27807,3,shape
27807,3,form
28270,3,time
28651,3,space
28651,3,infinite
29007,3,absolute_space
29114,3,phase_space
29378,3,event
29677,3,process
29677,3,physical_process
30358,3,act
30358,3,deed
30358,3,human_action
30358,3,human_activity
31264,3,group
31264,3,grouping
31921,3,relation
32613,3,possession
32823,3,social_relation
33020,3,communication
33615,3,measure
33615,3,quantity
33615,3,amount
34213,3,phenomenon
34479,4,thing
34574,4,kindness
34574,4,benignity
34777,4,abdominoplasty
34777,4,tummy_tuck
34939,4,abort
35189,4,accomplishment
35189,4,achievement
35697,4,agon
35891,4,alienation
36061,4,application
36299,4,beachhead
36299,4,foothold
36580,4,cakewalk
36762,4,feat
36762,4,effort
36762,4,exploit
37006,4,masterpiece
37090,4,masterstroke
37200,4,credit
37396,4,action
38175,4,res_gestae
38262,4,course
38262,4,course_of_action
38573,4,blind_alley
38863,4,collision_course
39021,4,interaction
39211,4,interplay
39297,4,contact
39545,4,brush
39740,4,eye_contact
39916,4,fetch
39990,4,placement
40152,4,interchange
40152,4,reciprocation
40152,4,give-and-take
40420,4,reciprocity
40545,4,cross-fertilization
40545,4,cross-fertilisation
40804,4,dealings
40804,4,traffic
40962,4,relation
41188,4,playing
41468,4,play
41468,4,swordplay
41614,4,boondoggle
41740,4,bowling
41899,4,acquiring
41899,4,getting
42311,4,causing
42311,4,causation
42541,4,delivery
42541,4,obstetrical_delivery
42757,4,departure
42757,4,going
42757,4,going_away
42757,4,leaving
43116,4,derring-do
43195,4,discovery
43195,4,find
43195,4,uncovering
43609,4,disposal
43609,4,disposition
43902,4,hit
44150,4,implementation
44150,4,effectuation
44455,4,egress
44455,4,egression
44455,4,emergence
44673,4,equalization
44673,4,equalisation
44673,4,leveling
44900,4,exhumation
44900,4,disinterment
44900,4,digging_up
45114,4,mitzvah
45114,4,mitsvah
45250,4,propulsion
45250,4,actuation
45646,4,rally
45646,4,rallying
45907,4,recovery
45907,4,retrieval
46177,4,running_away
46344,4,stunt
46522,4,touch
46522,4,touching
47018,4,tour_de_force
47106,4,performance
47356,4,overachievement
47550,4,underachievement
47745,4,record
47745,4,track_record
47941,4,fait_accompli
47941,4,accomplished_fact
48051,4,going
48051,4,sledding
48225,4,arrival
48225,4,reaching
48374,4,arrival
48656,4,attainment
48828,4,advent
48828,4,coming
49003,4,entrance
49003,4,entering
49003,4,entry
49003,4,ingress
49003,4,incoming
49344,4,incursion
49530,4,intrusion
49636,4,irruption
49789,4,entree
49909,4,entail
50037,4,registration
50037,4,enrollment
50037,4,enrolment
50195,4,appearance
50484,4,apparition
50693,4,emergence
50693,4,emersion
50887,4,reappearance
50887,4,return
51077,4,comeback
51192,4,return
51192,4,homecoming
51385,4,repatriation
51525,4,penetration
51712,4,interpenetration
51712,4,permeation
51897,4,market_penetration
52052,4,anchorage
52146,4,docking
52146,4,moorage
52146,4,dockage
52146,4,tying_up
52334,4,landing
52500,4,landing
52791,4,forced_landing
52791,4,emergency_landing
53020,4,breaking_away
53097,4,farewell
53097,4,leave
53097,4,leave-taking
53097,4,parting
53405,4,French_leave
53525,4,valediction
53609,4,disappearance
53609,4,disappearing
53806,4,vanishing
53913,4,withdrawal
54328,4,effacement
54328,4,self-effacement
54483,4,retreat
54652,4,retirement
54652,4,retreat
54821,4,evacuation
55038,4,medical_evacuation
55038,4,medevac
55038,4,medivac
55227,4,decampment
55315,4,desertion
55315,4,abandonment
55315,4,defection
55633,4,abscondment
55633,4,decampment
55793,4,absence_without_leave
55793,4,unauthorized_absence
55932,4,deviationism
56087,4,emigration
56087,4,out-migration
56087,4,expatriation
56311,4,immigration
56311,4,in-migration
56551,4,aliyah
56688,4,pullback
56912,4,retreat
57162,4,standdown
57162,4,stand-down
57306,4,disengagement
57306,4,fallback
57306,4,pullout
57486,4,receding
57486,4,recession
57657,4,sailing
57748,4,amphibious_landing
58002,4,debarkation
58002,4,disembarkation
58002,4,disembarkment
58247,4,going_ashore
58337,4,boarding
58337,4,embarkation
58337,4,embarkment
58519,4,exit
58608,4,elopement
58743,4,escape
58743,4,flight
59127,4,evasion
59376,4,slip
59376,4,elusion
59376,4,eluding
59552,4,maneuver
59552,4,manoeuvre
59552,4,evasive_action
59728,4,clinch
59895,4,dodge
59989,4,break
59989,4,breakout
59989,4,jailbreak
59989,4,gaolbreak
59989,4,prisonbreak
59989,4,prison-breaking
60201,4,getaway
60201,4,lam
60414,4,exodus
60414,4,hegira
60414,4,hejira
60548,4,Hegira
60548,4,Hejira
60747,4,skedaddle
60817,4,Underground_Railroad
60817,4,Underground_Railway
61014,4,close_call
61014,4,close_shave
61014,4,squeak
61014,4,squeaker
61014,4,narrow_escape
61171,4,surfacing
61290,4,dispatch
61290,4,despatch
61290,4,shipment
61453,4,reshipment
61598,4,consummation
61792,4,consummation
61917,4,realization
61917,4,realisation
61917,4,fruition
62133,4,orgasm
62133,4,climax
62133,4,sexual_climax
62133,4,coming
62331,4,male_orgasm
62451,4,fulfillment
62451,4,fulfilment
62671,4,self-fulfillment
62671,4,self-realization
62671,4,self-realisation
62806,4,attainment
63014,4,record
63310,4,track_record
63559,4,world_record
63652,4,success
64018,4,winning
64151,4,blockbuster
64151,4,megahit
64151,4,smash_hit
64370,4,sleeper
64504,4,hit
64504,4,smash
64504,4,smasher
64504,4,strike
64504,4,bang
64789,4,bell_ringer
64789,4,bull's_eye
64789,4,mark
64789,4,home_run
65098,4,ennoblement
65216,4,conquest
65336,4,coup
65418,4,flying_colors
65418,4,flying_colours
65575,4,passing
65575,4,pass
65575,4,qualifying
65855,4,credit
65855,4,course_credit
66075,4,semester_hour
66075,4,credit_hour
66216,4,nonaccomplishment
66216,4,nonachievement
66397,4,failure
66636,4,failure
66901,4,failing
66901,4,flunk
67153,4,naught
67254,4,cut
67397,4,default
67526,4,loss
67707,4,capitulation
67707,4,fall
67707,4,surrender
67990,4,frustration
67990,4,thwarting
67990,4,foiling
68170,4,overturn
68170,4,upset
68333,4,backsliding
68333,4,lapse
68333,4,lapsing
68333,4,relapse
68333,4,relapsing
68333,4,reversion
68333,4,reverting
68617,4,recidivism
68755,4,disappointment
68755,4,dashing_hopes
68901,4,breach
69060,4,copout
69173,4,breach_of_contract
69444,4,anticipatory_breach
69444,4,constructive_breach
69604,4,breach_of_duty
69685,4,breach_of_the_covenant_of_warranty
